stadion_id,naziv,tip,duzina_staze,broj_staza,broj_skakalista_dalj,broj_skakalista_vis,broj_skakalista_motka,broj_bacalista_koplje,broj_bacalista_kugla,broj_bacalista_duga_krug,dozvoljeno_bacanje,kapacitet_tribine,povrsina_kompleksa,drzava,grad,ulica,broj,geo_sirina,geo_duzina,nadmorska_visina,kratica,klub_naziv,telefon,email,web_stranica,klub_drzava,klub_grad,klub_ulica,klub_broj
1,Sportski park Mladost,Specijalistički stadioni,400,8,5,1,1,1,3,5,t,1726,151793,Hrvatska,Zagreb,Jarunska,1b,45.782639,15.943050,114,MZ,HAAK Mladost,01 3025 912,mz@haak-mladost.hr,https://www.haak-mladost.com,Hrvatska,Zagreb,Jarunska,1b
1,Sportski park Mladost,Specijalistički stadioni,400,8,5,1,1,1,3,5,t,1726,151793,Hrvatska,Zagreb,Jarunska,1b,45.782639,15.943050,114,AGR,AK Agram,01 30 14 885,agram@atletskiklubagram.hr,https://www.atletskiklubagram.hr/,Hrvatska,Zagreb,Jarunska,1b
2,Mladost,Integrirani stadioni,400,8,2,1,1,2,1,4,t,5000,87328,Hrvatska,Čakovec,Športska ulica,2,46.391512,16.422361,162,MČ,AK Međimurje,040 328 210,akm@ck.t-com.hr,,Hrvatska,Čakovec,Športska ulica,2
3,Sloboda,Integrirani stadioni,400,8,4,1,1,2,1,5,t,6000,31223,Hrvatska,Varaždin,Ulica Ognjena Price,34,46.313435,16.341840,168,MAKVŽ,MAK,091 5414 319,maliatletskiklub@gmail.com,,Hrvatska,Varaždin,Ulica Ognjena Price,34
3,Sloboda,Integrirani stadioni,400,8,4,1,1,2,1,5,t,6000,31223,Hrvatska,Varaždin,Ulica Ognjena Price,34,46.313435,16.341840,168,VVŽ,AK Varaždin,097 6980 749,lackovic@ak-varazdin.hr,https://www.ak-varazdin.hr,Hrvatska,Varaždin,Ulica Ognjena Price,34
3,Sloboda,Integrirani stadioni,400,8,4,1,1,2,1,5,t,6000,31223,Hrvatska,Varaždin,Ulica Ognjena Price,34,46.313435,16.341840,168,SV,AK Sloboda,095 9159 001,tajnistvo@ak-sloboda.hr,https://www.ak-sloboda.hr,Hrvatska,Varaždin,Ulica Ognjena Price,34
4,Svetice,Integrirani stadioni,400,8,3,1,1,1,1,3,t,,86535,Hrvatska,Zagreb,Svetice,bb,45.817315,16.014751,114,ZAG,AK Zagreb,01 2442 940,akzagreb@akzagreb.com,https://akzagreb.com/,Hrvatska,Zagreb,Aleja Antuna Augustinčića,8
4,Svetice,Integrirani stadioni,400,8,3,1,1,1,1,3,t,,86535,Hrvatska,Zagreb,Svetice,bb,45.817315,16.014751,114,DZ,AK Dinamo-Zrinjevac,01 2311 125,dinamo-zrinjevac@zg.t-com.hr,https://www.ak-dinamo.hr,Hrvatska,Zagreb,Maksimirska,128
5,Višnjik,Integrirani stadioni,400,6,2,1,0,1,1,3,f,,191138,Hrvatska,Zadar,Splitska ulica,3,44.119973,15.242189,21,ASZ,AK Alojzije Stepinac,023 326 109,asz@has.hr,,Hrvatska,Zadar,Vinkovačka,34f
5,Višnjik,Integrirani stadioni,400,6,2,1,0,1,1,3,f,,191138,Hrvatska,Zadar,Splitska ulica,3,44.119973,15.242189,21,ZAD,ASK Zadar,023 301 691,zad@has.hr,https://www.ask-zadar.hr,Hrvatska,Zadar,Edvina Androvića,2
